candidate,name,report_group,workload,seed,load,trace_sha256,generated,source_overrun,accepted,delivered,errors,measurement_event_per_cycle,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,max_request_wait,demand_normalized_fairness,min_source_service_ratio,drain_cycles
a4-quadtree-model,spatial_dispersed,spatial_dispersed,matched_spatial,3201,0.75,87ac5ad6f73f9e9e1be70aa6495acbe1cdf3f2bbff6c11d8afa5414f8d1680da,1536,0,1536,1536,0,0.75,5,5,5,2,1.0,1.0,0
mock-flat-rr-model,spatial_dispersed,spatial_dispersed,matched_spatial,3201,0.75,87ac5ad6f73f9e9e1be70aa6495acbe1cdf3f2bbff6c11d8afa5414f8d1680da,1536,0,1536,1536,0,0.75,4,4,4,3,1.0,1.0,0
a4-quadtree-model,spatial_local,spatial_local,matched_spatial,3201,0.75,2805554231a8e60e48f1025eff6df959935083a566656ba327d64e9c8b67ecb0,1536,0,1536,1536,0,0.75,5,5,5,0,1.0,1.0,0
mock-flat-rr-model,spatial_local,spatial_local,matched_spatial,3201,0.75,2805554231a8e60e48f1025eff6df959935083a566656ba327d64e9c8b67ecb0,1536,0,1536,1536,0,0.75,4,4,4,3,1.0,1.0,0
a4-quadtree-model,spatial_local_mirror,spatial_local_mirror,matched_spatial,3201,0.75,1f9aca8d5cdefa0b8d81c98c7ae37b9cd1923b77ff1bdba7a6a3cda9b56cedc8,1536,0,1536,1536,0,0.75,5,5,5,0,1.0,1.0,0
mock-flat-rr-model,spatial_local_mirror,spatial_local_mirror,matched_spatial,3201,0.75,1f9aca8d5cdefa0b8d81c98c7ae37b9cd1923b77ff1bdba7a6a3cda9b56cedc8,1536,0,1536,1536,0,0.75,4,4,4,3,1.0,1.0,0
a4-quadtree-model,timing_pair_s3901,timing_pair,timing_pair,3901,0.625,ef7c353c2fb509b17ff8a2e133461c983f61d73ba877bea311d0eb7c2a9fd4b3,1259,1,1258,1258,0,0.61376953125,3,4,7,5,0.9999918782649376,0.9882352941176471,1
mock-flat-rr-model,timing_pair_s3901,timing_pair,timing_pair,3901,0.625,ef7c353c2fb509b17ff8a2e133461c983f61d73ba877bea311d0eb7c2a9fd4b3,1259,6,1253,1253,0,0.61181640625,2,3,5,4,0.9998811685875049,0.9571428571428572,0
a4-quadtree-model,timing_pair_s3902,timing_pair,timing_pair,3902,0.625,04eeba16b1c8c90cc69a457e56b7319cb7361952d71ffc79f89800c3a139d73b,1279,3,1276,1276,0,0.62255859375,4,5,6,3,0.9999671680339466,0.9795918367346939,2
mock-flat-rr-model,timing_pair_s3902,timing_pair,timing_pair,3902,0.625,04eeba16b1c8c90cc69a457e56b7319cb7361952d71ffc79f89800c3a139d73b,1279,11,1268,1268,0,0.61865234375,2,4,5,4,0.9999251795186584,0.972972972972973,1
