name,sources,padded_ports,empty_ports,padding_fraction,tree_levels,merge_nodes,state_bits,workload,mapping,trace_sha256,generated,accepted,overrun,event_p99_latency,pair_p99_latency,generated_pairs,complete_pairs,pair_completion_ratio,max_request_wait,drain_cycles,level0_link_util_mean,level0_link_util_max,level1_link_util_mean,level1_link_util_max,level2_link_util_mean,level2_link_util_max,mapping_wire_span_max,mapping_wire_span_mean,mapping_wire_span_total,tree_edge_span_max,estimated_wire_span_max,merge_fanout_max
n64_all_quadrants,64,64,0,0.0,3,21,693,all_quadrants_equal,interleaved,aec130eb883c1b1ed4e0ed5905105b0ca1e5b2518178a8f5cf9da628f738bf6a,3360,2087,1273,84,84,840,307,0.36547619047619045,63,46,0.06229106972301814,0.06351480420248329,0.2491642788920726,0.2507163323782235,0.9966571155682904,0.9966571155682904,6,3.0,192,4,6,4
n64_all_quadrants,64,64,0,0.0,3,21,693,all_quadrants_equal,bit_reversed,aec130eb883c1b1ed4e0ed5905105b0ca1e5b2518178a8f5cf9da628f738bf6a,3360,2090,1270,84,84,840,323,0.38452380952380955,63,49,0.062291368621840724,0.06294706723891273,0.2491654744873629,0.24988078206962328,0.9966618979494516,0.9966618979494516,11,4.625,296,4,11,4
n64_all_quadrants,64,64,0,0.0,3,21,693,all_quadrants_equal,placement_best,aec130eb883c1b1ed4e0ed5905105b0ca1e5b2518178a8f5cf9da628f738bf6a,3360,2084,1276,83,83,840,314,0.3738095238095238,63,43,0.0622907699665232,0.06312769010043041,0.2491630798660928,0.24964131994261118,0.9966523194643712,0.9966523194643712,9,3.53125,226,4,9,4
n64_all_quadrants,64,64,0,0.0,3,21,693,all_quadrants_equal,placement_worst,aec130eb883c1b1ed4e0ed5905105b0ca1e5b2518178a8f5cf9da628f738bf6a,3360,2084,1276,83,83,840,276,0.32857142857142857,63,43,0.0622907699665232,0.06599713055954089,0.2491630798660928,0.2539454806312769,0.9966523194643712,0.9966523194643712,11,5.1875,332,4,11,4
n18_padded_uniform,18,64,46,0.71875,3,21,672,padded_uniform,identity,8d9b304849b4304d3ae8f49cd98a4da9f5083a781301928d80f212ef12e96189,2615,2048,567,25,25,747,408,0.5461847389558233,23,9,0.06222654350996597,0.21487603305785125,0.24890617403986387,0.8526981040350025,0.9956246961594555,0.9956246961594555,6,2.3333333333333335,42,4,6,4
n18_padded_uniform,18,64,46,0.71875,3,21,672,padded_uniform,interleaved,8d9b304849b4304d3ae8f49cd98a4da9f5083a781301928d80f212ef12e96189,2615,2048,567,25,25,747,408,0.5461847389558233,23,9,0.06222654350996597,0.21487603305785125,0.24890617403986387,0.8526981040350025,0.9956246961594555,0.9956246961594555,6,2.3333333333333335,42,4,6,4
n18_padded_uniform,18,64,46,0.71875,3,21,672,padded_uniform,bit_reversed,8d9b304849b4304d3ae8f49cd98a4da9f5083a781301928d80f212ef12e96189,2615,2057,558,46,47,747,415,0.5555555555555556,31,12,0.062408980582524275,0.08300970873786408,0.24963592233009707,0.2611650485436893,0.9985436893203884,0.9985436893203884,9,4.388888888888889,79,4,9,4
n18_padded_uniform,18,64,46,0.71875,3,21,672,padded_uniform,placement_best,8d9b304849b4304d3ae8f49cd98a4da9f5083a781301928d80f212ef12e96189,2615,2060,555,47,48,747,422,0.5649263721552878,31,15,0.06240911294231701,0.08288899660688318,0.24963645176926808,0.25593795443528844,0.9985458070770722,0.9985458070770722,12,5.055555555555555,91,4,12,4
n18_padded_uniform,18,64,46,0.71875,3,21,672,padded_uniform,placement_worst,8d9b304849b4304d3ae8f49cd98a4da9f5083a781301928d80f212ef12e96189,2615,2052,563,24,25,747,429,0.5742971887550201,20,12,0.06225728155339806,0.2237864077669903,0.24902912621359222,0.8713592233009708,0.996116504854369,0.996116504854369,7,2.888888888888889,52,4,7,4
n48_padded_uniform,48,64,16,0.25,3,21,693,padded_uniform,identity,c4c9c2c77bdf15896df11567373e1405c580d54d2c8ca3180ac193e511d4ddf2,2500,2056,444,58,60,715,450,0.6293706293706294,47,15,0.0622879301987397,0.09064469219583131,0.2491517207949588,0.33494910324769755,0.9966068831798351,0.9966068831798351,10,3.25,156,4,10,4
n48_padded_uniform,48,64,16,0.25,3,21,693,padded_uniform,interleaved,c4c9c2c77bdf15896df11567373e1405c580d54d2c8ca3180ac193e511d4ddf2,2500,2056,444,58,60,715,450,0.6293706293706294,47,15,0.0622879301987397,0.09064469219583131,0.2491517207949588,0.33494910324769755,0.9966068831798351,0.9966068831798351,10,3.25,156,4,10,4
n48_padded_uniform,48,64,16,0.25,3,21,693,padded_uniform,bit_reversed,c4c9c2c77bdf15896df11567373e1405c580d54d2c8ca3180ac193e511d4ddf2,2500,2063,437,64,65,715,454,0.634965034965035,47,22,0.06228864734299517,0.06618357487922705,0.24915458937198068,0.25120772946859904,0.9966183574879227,0.9966183574879227,13,4.75,228,4,13,4
n48_padded_uniform,48,64,16,0.25,3,21,693,padded_uniform,placement_best,c4c9c2c77bdf15896df11567373e1405c580d54d2c8ca3180ac193e511d4ddf2,2500,2065,435,63,64,715,449,0.627972027972028,47,24,0.06228885135135135,0.06563706563706563,0.24915540540540543,0.2504826254826255,0.9966216216216216,0.9966216216216216,11,5.541666666666667,266,4,11,4
n48_padded_uniform,48,64,16,0.25,3,21,693,padded_uniform,placement_worst,c4c9c2c77bdf15896df11567373e1405c580d54d2c8ca3180ac193e511d4ddf2,2500,2059,441,59,61,715,456,0.6377622377622377,47,18,0.06228823814133591,0.09002904162633107,0.24915295256534367,0.3431752178121975,0.9966118102613747,0.9966118102613747,11,4.958333333333333,238,4,11,4
