name,workload,seed,load,trace_sha256,a4_source_overrun,flat_source_overrun,delta_source_overrun,a4_measurement_event_per_cycle,flat_measurement_event_per_cycle,delta_measurement_event_per_cycle,a4_p95_e2e_latency,flat_p95_e2e_latency,delta_p95_e2e_latency,a4_p99_e2e_latency,flat_p99_e2e_latency,delta_p99_e2e_latency,a4_max_request_wait,flat_max_request_wait,delta_max_request_wait,a4_demand_normalized_fairness,flat_demand_normalized_fairness,delta_demand_normalized_fairness,a4_min_source_service_ratio,flat_min_source_service_ratio,delta_min_source_service_ratio
spatial_local_mirror,matched_spatial,3201,0.75,1f9aca8d5cdefa0b8d81c98c7ae37b9cd1923b77ff1bdba7a6a3cda9b56cedc8,0,0,0.0,0.75,0.75,0.0,6,5,1.0,6,5,1.0,0,3,-3.0,1.0,1.0,0.0,1.0,1.0,0.0
moving_hotspot_single_s3301,moving_hotspot,3301,0.9,63645d3abae7210d74dbd16176bc5d4b17cb7d800eaefe59dfde721cd98eca5f,0,0,0.0,0.888184,0.888672,-0.00048800000000004395,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
moving_hotspot_single_s3302,moving_hotspot,3302,0.9,6eb1fd67c9ef8ec6327708525887893c08bdbe764ada3d98c1a7b7fec8c8fa04,0,0,0.0,0.891113,0.891602,-0.0004889999999999617,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
moving_hotspot_multi_disperse_s3301,moving_hotspot,3301,0.9,0ce16196ad82c5dba864ed678b2cab036d4a56b94fa99dda62da492d6ba6ec17,0,0,0.0,0.888184,0.888672,-0.00048800000000004395,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
moving_hotspot_multi_row_s3301,moving_hotspot,3301,0.9,d3bbf76b74a9bf981752f9021e09ebc683a50a163be2a92a71cd6b0c5892c4ab,0,0,0.0,0.888184,0.888672,-0.00048800000000004395,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
moving_hotspot_multi_column_s3301,moving_hotspot,3301,0.9,5538b98dc8bf9e3ac58f47cd1127cf59be0bf930f236ae82d3b225fe5a910f78,0,0,0.0,0.888184,0.888672,-0.00048800000000004395,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
rotating_victim_identity,rotating_victim,3401,1.025,3711822e5250bcf2917cedf6569e5f47f8a2af7d33fb467b744958d7941339e8,150,215,-65.0,0.991943,0.976318,0.015625,9,5,4.0,12,7,5.0,13,10,3.0,0.9998295904260663,0.9998003773400841,2.9213085982249254e-05,0.9390681003584229,0.9283154121863799,0.010752688172043001
rotating_victim_affine,rotating_victim,3401,1.025,36466f8c889421a738c8b97b38968b587abbbef1b7a6db003b88fcc6aca6e277,149,212,-63.0,0.991943,0.977295,0.014647999999999994,9,5,4.0,12,7,5.0,12,7,5.0,0.9998424613252815,0.9998445669713116,-2.105646030092778e-06,0.9431818181818182,0.9315589353612167,0.011622882820601532
phase_transition_s3501,phase_transition,3501,0.769,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,1015,1017,-2.0,0.518555,0.518066,0.0004889999999999617,20,14,6.0,21,16,5.0,15,15,0.0,0.9988238354686734,0.9979449712990733,0.0008788641696000354,0.6244343891402715,0.6108597285067874,0.013574660633484115
phase_transition_s3502,phase_transition,3502,0.769,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,1013,1016,-3.0,0.525879,0.525146,0.0007329999999999837,20,14,6.0,21,16,5.0,15,15,0.0,0.9973576706338904,0.9984044012915885,-0.001046730657698114,0.6157407407407407,0.6157407407407407,0.0
elephant_mouse_identity,elephant_mouse,3601,0.9,0fbec1a87125b199ce8e5b389d108481e238d64d5e7a3a1ee6e74786d1b3fabb,0,0,0.0,0.891113,0.891602,-0.0004889999999999617,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
elephant_mouse_affine,elephant_mouse,3601,0.9,cbfdc0993396f30d16bb987ce381a324e53cbe852dce15bd0f5d95a687790c2d,0,0,0.0,0.891113,0.891602,-0.0004889999999999617,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
global_fanin_identity,global_fanin,3701,0.25,82d86a633f1359d484cc0b780b9b3447048cb76a122422e02da3bf0f6ff800ab,0,0,0.0,0.25,0.25,0.0,18,17,1.0,18,17,1.0,12,15,-3.0,1.0,1.0,0.0,1.0,1.0,0.0
retrigger_identity,retrigger,3801,0.25,0d381e1a6e3da84cbd146c231870879346f63996ebf95d138a8481b4a071d6b4,0,0,0.0,0.25,0.25,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
retrigger_affine,retrigger,3801,0.25,182e985be382ec997671a9f5b5a0532f4ed8138a22dbc826e8035ef1e2a99fa7,0,0,0.0,0.25,0.25,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
timing_pair_s3901,timing_pair,3901,0.625,ef7c353c2fb509b17ff8a2e133461c983f61d73ba877bea311d0eb7c2a9fd4b3,1,6,-5.0,0.61377,0.611816,0.0019540000000000113,4,3,1.0,5,4,1.0,5,4,1.0,0.9999918782649376,0.9998811685875049,0.00011070967743276316,0.9882352941176471,0.9571428571428572,0.031092436974789917
timing_pair_s3902,timing_pair,3902,0.625,04eeba16b1c8c90cc69a457e56b7319cb7361952d71ffc79f89800c3a139d73b,3,11,-8.0,0.622559,0.618652,0.003906999999999994,5,3,2.0,6,5,1.0,3,4,-1.0,0.9999671680339466,0.9999251795186584,4.1988515288138295e-05,0.9795918367346939,0.972972972972973,0.006618863761720828
