suite,trace,trace_sha256,k,model,b,d,seed,generated,accepted,delivered,source_overrun,fixed_window_delivered,average_latency,p95_latency,p99_latency,max_latency,drain_cycle
full50,spatial_dispersed,87ac5ad6f73f9e9e1be70aa6495acbe1cdf3f2bbff6c11d8afa5414f8d1680da,2,ecrf,2,2,0,1536,1536,1536,0,1536,2.5,3,3,3,2044
full50,spatial_local,2805554231a8e60e48f1025eff6df959935083a566656ba327d64e9c8b67ecb0,2,flat_k_grant,0,0,0,1536,1536,1536,0,1536,2.5,3,3,3,2044
full50,spatial_local,2805554231a8e60e48f1025eff6df959935083a566656ba327d64e9c8b67ecb0,2,ecrf,2,2,0,1536,1536,1536,0,1536,2.5,3,3,3,2044
full50,spatial_local_mirror,1f9aca8d5cdefa0b8d81c98c7ae37b9cd1923b77ff1bdba7a6a3cda9b56cedc8,2,flat_k_grant,0,0,0,1536,1536,1536,0,1536,2.5,3,3,3,2044
full50,spatial_local_mirror,1f9aca8d5cdefa0b8d81c98c7ae37b9cd1923b77ff1bdba7a6a3cda9b56cedc8,2,ecrf,2,2,0,1536,1536,1536,0,1536,2.5,3,3,3,2044
full50,timing_pair_s3901,ef7c353c2fb509b17ff8a2e133461c983f61d73ba877bea311d0eb7c2a9fd4b3,2,flat_k_grant,0,0,0,1259,1259,1259,0,1259,2.0,2,2,2,2047
full50,timing_pair_s3901,ef7c353c2fb509b17ff8a2e133461c983f61d73ba877bea311d0eb7c2a9fd4b3,2,ecrf,2,2,0,1259,1259,1259,0,1259,2.0,2,2,2,2047
full50,timing_pair_s3902,04eeba16b1c8c90cc69a457e56b7319cb7361952d71ffc79f89800c3a139d73b,2,flat_k_grant,0,0,0,1279,1279,1279,0,1278,2.0,2,2,2,2048
full50,timing_pair_s3902,04eeba16b1c8c90cc69a457e56b7319cb7361952d71ffc79f89800c3a139d73b,2,ecrf,2,2,0,1279,1279,1279,0,1278,2.0,2,2,2,2048
full50,uniform_l0p125_s2001,850e064e2dfe61567e4fd275fb2c200ec23b995f810f4fa40c87322e640e4ffc,2,flat_k_grant,0,0,0,251,251,251,0,251,2.0,2,2,2,2025
full50,uniform_l0p125_s2001,850e064e2dfe61567e4fd275fb2c200ec23b995f810f4fa40c87322e640e4ffc,2,ecrf,2,2,0,251,251,251,0,251,2.0,2,2,2,2025
full50,uniform_l0p125_s2002,e1a7cdc62d914a7e0b92d4cd3e9d7289655e8ad0eb27b513b6859bef694c741d,2,flat_k_grant,0,0,0,261,261,261,0,261,2.0,2,2,2,2022
full50,uniform_l0p125_s2002,e1a7cdc62d914a7e0b92d4cd3e9d7289655e8ad0eb27b513b6859bef694c741d,2,ecrf,2,2,0,261,261,261,0,261,2.0,2,2,2,2022
full50,uniform_l0p125_s2003,cecd8707640657715f9b69c57640a49aa5777bb7d3aea61d7038e07b114f9528,2,flat_k_grant,0,0,0,231,231,231,0,231,2.0,2,2,2,2038
full50,uniform_l0p125_s2003,cecd8707640657715f9b69c57640a49aa5777bb7d3aea61d7038e07b114f9528,2,ecrf,2,2,0,231,231,231,0,231,2.0,2,2,2,2038
full50,uniform_l0p50_s2001,5e897c984eaf929c1b3af994c9776a5d776abc82e78b2660bb90ea5169cb76ab,2,flat_k_grant,0,0,0,982,982,982,0,982,2.0,2,2,2,2046
full50,uniform_l0p50_s2001,5e897c984eaf929c1b3af994c9776a5d776abc82e78b2660bb90ea5169cb76ab,2,ecrf,2,2,0,982,982,982,0,982,2.0,2,2,2,2046
full50,uniform_l0p50_s2002,a3049c9c22c391dd3447362a260e149dd12da4debd43ddb8dc452de01d2fc6e2,2,flat_k_grant,0,0,0,1038,1038,1038,0,1038,2.0,2,2,2,2047
full50,uniform_l0p50_s2002,a3049c9c22c391dd3447362a260e149dd12da4debd43ddb8dc452de01d2fc6e2,2,ecrf,2,2,0,1038,1038,1038,0,1038,2.0,2,2,2,2047
full50,uniform_l0p50_s2003,d5811bc9e953d5e617818235b119d302429f6edd99978315ad3d5195388672d1,2,flat_k_grant,0,0,0,1032,1032,1032,0,1031,2.0,2,2,2,2048
full50,uniform_l0p50_s2003,d5811bc9e953d5e617818235b119d302429f6edd99978315ad3d5195388672d1,2,ecrf,2,2,0,1032,1032,1032,0,1031,2.0,2,2,2,2048
full50,uniform_l0p90_s2001,b5324f571be19993e812191adf744a5b7d0626b5a9030592d29e2e7ce401b4a8,2,flat_k_grant,0,0,0,1868,1868,1868,0,1867,2.0,2,2,2,2048
full50,uniform_l0p90_s2001,b5324f571be19993e812191adf744a5b7d0626b5a9030592d29e2e7ce401b4a8,2,ecrf,2,2,0,1868,1868,1868,0,1867,2.0,2,2,2,2048
full50,uniform_l0p90_s2002,c2698ed1703f87d3f3081584c7f7ca7cfe2b345ce1e477247c70dbc1948bc569,2,flat_k_grant,0,0,0,1851,1851,1851,0,1850,2.0,2,2,2,2048
full50,uniform_l0p90_s2002,c2698ed1703f87d3f3081584c7f7ca7cfe2b345ce1e477247c70dbc1948bc569,2,ecrf,2,2,0,1851,1851,1851,0,1850,2.0,2,2,2,2048
full50,uniform_l0p90_s2003,c11484a731935911ade2028a2c7bdce20604278c9f8862491166b3276a677be6,2,flat_k_grant,0,0,0,1837,1837,1837,0,1836,2.0,2,2,2,2048
full50,uniform_l0p90_s2003,c11484a731935911ade2028a2c7bdce20604278c9f8862491166b3276a677be6,2,ecrf,2,2,0,1837,1837,1837,0,1836,2.0,2,2,2,2048
full50,uniform_l1p00_s2001,8554d7917b4a06bbc2e0dd1fc3e06286182a0bf64dff8de01883d2674ecb737d,2,flat_k_grant,0,0,0,2048,2048,2048,0,2047,2.0,2,2,2,2048
full50,uniform_l1p00_s2001,8554d7917b4a06bbc2e0dd1fc3e06286182a0bf64dff8de01883d2674ecb737d,2,ecrf,2,2,0,2048,2048,2048,0,2047,2.0,2,2,2,2048
full50,uniform_l1p00_s2002,262f9f91597666910d43bfb5e4a6e9a999272207c22e07f0449ccac707348a5d,2,flat_k_grant,0,0,0,2048,2048,2048,0,2047,2.0,2,2,2,2048
full50,uniform_l1p00_s2002,262f9f91597666910d43bfb5e4a6e9a999272207c22e07f0449ccac707348a5d,2,ecrf,2,2,0,2048,2048,2048,0,2047,2.0,2,2,2,2048
