name,workload,report_group,trace_sha256,generated,source_overrun,accepted,delivered,errors,compressed_bits,raw_bits,compression_ratio,escape_ratio,same_tokens,run_tokens,delta_tokens,raw_tokens,link_bits_per_event,link_cycles,events_per_link_cycle,events_per_pin_cycle,data_toggles_per_event,toggle_proxy_per_event,raw_events_per_pin_cycle,raw_toggle_proxy_per_event,offered_bits_per_event,offered_compression_ratio,offered_escape_ratio,overrun_ratio,throughput,avg_e2e_latency,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,avg_internal_latency,total_cycles
moving_hotspot_single_s3302,moving_hotspot,moving_hotspot_single,6eb1fd67c9ef8ec6327708525887893c08bdbe764ada3d98c1a7b7fec8c8fa04,1827,1416,411,411,0,2155,1644,0.762877030162413,0.5766423357664233,1,7,151,237,5.24330900243309,1271,0.3233674272226593,0.06467348544453186,3.781021897810219,9.481751824817518,0.1,2.1362530413625302,3.140120415982485,1.2738364999128464,0.3163656267104543,0.7750410509031199,0.197754,31.323601,54.0,61.0,65,11.798054,2091
phase_transition_s3501,phase_transition,phase_transition,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,3139,2468,671,671,0,2745,2684,0.9777777777777777,0.2757078986587183,4,0,482,185,4.090909090909091,1704,0.3937793427230047,0.07875586854460094,3.9135618479880776,9.86736214605067,0.1,2.0268256333830106,6.29308697037273,0.6356181026627519,0.8413507486460656,0.7862376553042371,0.163818,50.536513,75.0,76.0,77,9.301043,4106
phase_transition_s3502,phase_transition,phase_transition,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,3167,2474,693,693,0,2753,2772,1.0069015619324373,0.25396825396825395,15,0,502,176,3.9725829725829724,1719,0.4031413612565445,0.0806282722513089,3.803751803751804,9.727272727272727,0.1,1.9884559884559885,6.223871171455636,0.6426868246156968,0.8275970950426271,0.7811809283233344,0.169189,48.854257,75.0,77.0,78,9.359307,4106
retrigger_affine,retrigger,retrigger_affine,182e985be382ec997671a9f5b5a0532f4ed8138a22dbc826e8035ef1e2a99fa7,512,0,512,512,0,1591,2048,1.2872407291011942,0.21875,0,128,13,112,3.107421875,858,0.5967365967365967,0.11934731934731935,1.6953125,3.673828125,0.1,1.8828125,3.072265625,1.301970756516211,0.21875,0.0,0.25,13.703125,15.0,15.0,15,12.703125,2058
retrigger_identity,retrigger,retrigger_identity,0d381e1a6e3da84cbd146c231870879346f63996ebf95d138a8481b4a071d6b4,512,0,512,512,0,1583,2048,1.293746051800379,0.21484375,0,128,15,110,3.091796875,854,0.5995316159250585,0.11990632318501171,1.72265625,3.701171875,0.1,2.140625,3.056640625,1.3086261980830671,0.21484375,0.0,0.25,13.671875,15.0,15.0,15,12.671875,2058
rotating_victim_affine,rotating_victim,rotating_victim_affine,36466f8c889421a738c8b97b38968b587abbbef1b7a6db003b88fcc6aca6e277,4217,3224,993,993,0,3347,3972,1.1867343890050792,0.09264853977844914,0,0,901,92,3.3705941591137965,2170,0.4576036866359447,0.09152073732718893,3.877139979859013,9.878147029204431,0.1,2.0,6.2549205596395545,0.6394965310687342,0.834005216978895,0.7645245435143467,0.239014,60.547835,75.0,76.0,77,9.363545,4167
rotating_victim_identity,rotating_victim,rotating_victim_identity,3711822e5250bcf2917cedf6569e5f47f8a2af7d33fb467b744958d7941339e8,4217,3223,994,994,0,3338,3976,1.1911324146195326,0.08953722334004025,0,0,905,89,3.358148893360161,2166,0.45891043397968606,0.09178208679593722,3.885311871227364,9.886317907444669,0.1,2.0,6.2549205596395545,0.6394965310687342,0.834005216978895,0.7642874081100308,0.239502,60.432596,75.0,76.0,77,9.351107,4165
shape_b1,rate_shape,shape_b1,6b4e2984771d7c23dd6bc68e01e9125d72e68af24afdd70a38988bf0b6be0bf4,2048,1043,1005,1005,0,3283,4020,1.2244897959183674,0.06666666666666667,0,0,938,67,3.2666666666666666,2144,0.46875,0.09375,3.872636815920398,9.873631840796019,0.1,2.0019900497512437,3.251953125,1.23003003003003,0.06298828125,0.50927734375,0.241943,59.167164,74.0,75.0,77,9.258706,4166
shape_b16,rate_shape,shape_b16,b622e934385346d3a6f976535b813d07af650846abe1011bc7644ca4a931f545,2048,1053,995,995,0,3237,3980,1.2295335186901453,0.06331658291457286,0,0,932,63,3.2532663316582915,2116,0.47022684310018903,0.0940453686200378,3.8733668341708545,9.874371859296483,0.1,2.0,3.251953125,1.23003003003003,0.06298828125,0.51416015625,0.240234,59.502513,74.0,75.0,77,9.248241,4148
shape_b4,rate_shape,shape_b4,90eb9c4173de5cf92d98bbb70512b3f3bb7a1aff94803c4e7f4d4d73f8ef59b7,2048,1046,1002,1002,0,3266,4008,1.2271892222902634,0.06487025948103792,0,0,937,65,3.259481037924152,2134,0.46954076850984067,0.09390815370196813,3.87624750499002,9.877245508982035,0.1,2.003992015968064,3.251953125,1.23003003003003,0.06298828125,0.5107421875,0.241699,59.202595,74.0,75.0,77,9.254491,4156
spatial_dispersed,matched_spatial,spatial_dispersed,87ac5ad6f73f9e9e1be70aa6495acbe1cdf3f2bbff6c11d8afa5414f8d1680da,1536,1191,345,345,0,2415,1380,0.5714285714285714,1.0,0,0,0,345,7.0,1380,0.25,0.05,2.9971014492753625,9.0,0.1,1.5014492753623188,7.0,0.5714285714285714,1.0,0.775390625,0.166016,34.576812,37.0,37.0,37,12.97971,2086
spatial_local,matched_spatial,spatial_local,2805554231a8e60e48f1025eff6df959935083a566656ba327d64e9c8b67ecb0,1536,1123,413,413,0,2067,1652,0.799225931301403,0.5012106537530266,0,0,206,207,5.004842615012106,1240,0.33306451612903226,0.06661290322580646,3.9951573849878934,9.997578692493947,0.1,2.0048426150121066,5.5,0.7272727272727273,0.625,0.7311197916666666,0.199219,28.668281,31.0,31.0,31,10.987893,2082
spatial_local_mirror,matched_spatial,spatial_local_mirror,1f9aca8d5cdefa0b8d81c98c7ae37b9cd1923b77ff1bdba7a6a3cda9b56cedc8,1536,1123,413,413,0,2067,1652,0.799225931301403,0.5012106537530266,0,0,206,207,5.004842615012106,1240,0.33306451612903226,0.06661290322580646,3.9951573849878934,9.997578692493947,0.1,2.0048426150121066,5.5,0.7272727272727273,0.625,0.7311197916666666,0.199219,28.668281,31.0,31.0,31,10.987893,2082
timing_pair_s3901,timing_pair,timing_pair,ef7c353c2fb509b17ff8a2e133461c983f61d73ba877bea311d0eb7c2a9fd4b3,1259,774,485,485,0,1751,1940,1.1079383209594518,0.15257731958762888,0,0,411,74,3.6103092783505155,1118,0.4338103756708408,0.08676207513416816,3.8845360824742268,9.88659793814433,0.1,2.028865979381443,6.24702144559174,0.6403051493960585,0.8339952343129468,0.6147736298649722,0.231445,52.894845,72.0,75.0,77,9.595876,2104
timing_pair_s3902,timing_pair,timing_pair,04eeba16b1c8c90cc69a457e56b7319cb7361952d71ffc79f89800c3a139d73b,1279,786,493,493,0,1743,1972,1.1313826735513481,0.13387423935091278,0,0,427,66,3.535496957403651,1118,0.4409660107334526,0.08819320214669052,3.898580121703854,9.900608519269777,0.1,2.0081135902636915,6.169663799843628,0.6483335445444177,0.818608287724785,0.6145426114151681,0.233887,52.957404,73.0,76.0,77,9.515213,2116
