name,workload,seed,offered,overrun,accepted,delivered,errors,throughput,avg_e2e_latency,max_e2e_latency,max_request_wait,link_bits,data_cycles,delimiter_cycles,blocks,raw_blocks,token_blocks,dictionary_blocks,raw_bypass_ratio,bits_per_event,compression_ratio,events_per_link_cycle,events_per_pin_cycle,toggle_per_event,raw_toggle_per_event
moving_hotspot_single_s3302,moving_hotspot,3302,1827,1310,517,517,0,0.242188,98.837524,144,60,1988,998,33,33,25,8,0,0.7575757575757576,3.8452611218568666,1.040241448692153,0.501454898157129,0.1002909796314258,2.183752417794971,2.0831721470019344
phase_transition_s3501,phase_transition,3501,3139,2451,688,688,0,0.167969,120.821221,173,65,2570,1298,57,57,31,26,0,0.543859649122807,3.73546511627907,1.070817120622568,0.5077490774907749,0.10154981549815498,2.614825581395349,2.015988372093023
phase_transition_s3502,phase_transition,3502,3167,2460,707,707,0,0.172607,122.007072,173,66,2644,1336,53,53,25,28,0,0.4716981132075472,3.7397454031117396,1.0695915279878971,0.5089992800575954,0.10179985601151909,2.5473833097595473,1.9957567185289957
retrigger_affine,retrigger,3801,512,142,370,370,0,0.180664,87.318919,143,35,1267,645,24,24,1,23,0,0.041666666666666664,3.424324324324324,1.1681136543014996,0.5530642750373692,0.11061285500747384,1.7864864864864864,1.9594594594594594
retrigger_identity,retrigger,3801,512,149,363,363,0,0.177246,89.997245,157,54,1250,636,23,23,1,21,1,0.043478260869565216,3.443526170798898,1.1616,0.5508345978755691,0.1101669195751138,1.8980716253443526,2.068870523415978
rotating_victim_affine,rotating_victim,3401,4217,3178,1039,1039,0,0.246094,131.198268,149,65,3802,1930,65,65,7,58,0,0.1076923076923077,3.6592877767083736,1.0931088900578643,0.5208020050125314,0.10416040100250626,2.58614051973051,2.0009624639076034
rotating_victim_identity,rotating_victim,3401,4217,3178,1039,1039,0,0.246094,130.717036,148,65,3798,1928,65,65,7,58,0,0.1076923076923077,3.6554379210779597,1.0942601369141653,0.5213246362267938,0.10426492724535875,2.589990375360924,2.004812319538017
shape_b1,rate_shape,3101,2048,1008,1040,1040,0,0.246094,127.838462,146,63,3709,1887,65,65,0,65,0,0.0,3.566346153846154,1.1215961175519007,0.5327868852459017,0.10655737704918032,2.6009615384615383,2.0048076923076925
shape_b16,rate_shape,3101,2048,1008,1040,1040,0,0.246094,129.130769,146,63,3705,1885,65,65,0,65,0,0.0,3.5625,1.1228070175438596,0.5333333333333333,0.10666666666666667,2.6259615384615387,2.0028846153846156
shape_b4,rate_shape,3101,2048,1008,1040,1040,0,0.246094,131.253846,146,63,3712,1888,65,65,1,64,0,0.015384615384615385,3.5692307692307694,1.1206896551724137,0.5325140809011777,0.10650281618023553,2.6201923076923075,2.0028846153846156
spatial_dispersed,matched_spatial,3201,1536,1068,468,468,0,0.216309,106.096154,149,55,1669,849,30,30,1,0,29,0.03333333333333333,3.5662393162393164,1.121629718394248,0.5324232081911263,0.10648464163822526,2.75,1.5064102564102564
spatial_local,matched_spatial,3201,1536,1068,468,468,0,0.216309,106.096154,149,55,1669,849,30,30,1,0,29,0.03333333333333333,3.5662393162393164,1.121629718394248,0.5324232081911263,0.10648464163822526,2.7542735042735043,2.0064102564102564
spatial_local_mirror,matched_spatial,3201,1536,1068,468,468,0,0.216309,106.096154,149,55,1669,849,30,30,1,0,29,0.03333333333333333,3.5662393162393164,1.121629718394248,0.5324232081911263,0.10648464163822526,2.7542735042735043,2.0064102564102564
timing_pair_s3901,timing_pair,3901,1259,747,512,512,0,0.235352,122.177734,149,65,1964,990,32,32,16,16,0,0.5,3.8359375,1.0427698574338085,0.5009784735812133,0.10019569471624266,2.490234375,2.044921875
timing_pair_s3902,timing_pair,3902,1279,762,517,517,0,0.237793,122.152805,148,64,2002,1006,33,33,23,10,0,0.696969696969697,3.872340425531915,1.032967032967033,0.49759384023099135,0.09951876804619826,2.4081237911025144,1.998065764023211
uniform_l0p125_s2001,uniform,2001,251,3,248,248,0,0.116211,87.092742,157,36,992,496,28,28,28,0,0,1.0,4.0,1.0,0.4732824427480916,0.09465648854961832,2.504032258064516,1.9959677419354838
uniform_l0p125_s2002,uniform,2002,261,8,253,253,0,0.119629,83.636364,154,29,1012,506,29,29,29,0,0,1.0,4.0,1.0,0.47289719626168225,0.09457943925233644,2.533596837944664,2.027667984189723
uniform_l0p125_s2003,uniform,2003,231,1,230,230,0,0.11084,85.230435,168,29,920,460,32,32,32,0,0,1.0,4.0,1.0,0.46747967479674796,0.09349593495934959,2.639130434782609,1.9608695652173913
uniform_l0p50_s2001,uniform,2001,982,470,512,512,0,0.234375,114.275391,147,64,2020,1012,32,32,28,4,0,0.875,3.9453125,1.0138613861386139,0.4904214559386973,0.09808429118773947,2.357421875,2.001953125
uniform_l0p50_s2002,uniform,2002,1038,526,512,512,0,0.234375,116.332031,149,65,2025,1015,32,32,27,5,0,0.84375,3.955078125,1.011358024691358,0.4890162368672397,0.09780324737344795,2.318359375,1.962890625
uniform_l0p50_s2003,uniform,2003,1032,518,514,514,0,0.234375,116.566148,147,63,2043,1023,33,33,30,3,0,0.9090909090909091,3.9747081712062258,1.0063631913852178,0.48674242424242425,0.09734848484848485,2.3249027237354087,1.9785992217898833
uniform_l0p90_s2001,uniform,2001,1868,1340,528,528,0,0.242188,127.208333,149,65,1949,987,33,33,8,25,0,0.24242424242424243,3.691287878787879,1.0836326321190355,0.5176470588235295,0.10352941176470588,2.5132575757575757,1.990530303030303
