name,workload,events,zero_order_entropy,transition_entropy,repeat_fraction,mean_run_length,max_run_length,run_length_entropy,block_size,blocks,compressed_blocks,raw_blocks,token_blocks,dictionary_blocks,raw_bypass_ratio,bits,bits_per_event,compression_ratio,saved_bits,mode_header_lower_bound_bits,inband_header_bits_per_event
moving_hotspot_single_s3302,moving_hotspot,1827,3.997545188055239,2.2967659027226626,0.6305418719211823,2.7066666666666666,34,2.261840098276159,8,229,152,77,132,20,0.33624454148471616,5756,3.150519978106185,1.2696316886726893,1552,229,0.12534209085933223
moving_hotspot_single_s3302,moving_hotspot,1827,3.997545188055239,2.2967659027226626,0.6305418719211823,2.7066666666666666,34,2.261840098276159,16,115,90,25,81,9,0.21739130434782608,5682,3.110016420361248,1.2861668426610349,1626,115,0.06294471811713191
moving_hotspot_single_s3302,moving_hotspot,1827,3.997545188055239,2.2967659027226626,0.6305418719211823,2.7066666666666666,34,2.261840098276159,32,58,52,6,52,0,0.10344827586206896,5668,3.1023535851122057,1.2893436838390966,1640,58,0.031746031746031744
phase_transition_s3501,phase_transition,3139,3.9974812493850194,3.9422930543268113,0.04109589041095896,1.042857142857143,4,0.25721466454530567,4,785,1,784,1,0,0.9987261146496815,12553,3.9990442816183496,1.0002389866964072,3,785,0.25007964319847087
phase_transition_s3501,phase_transition,3139,3.9974812493850194,3.9422930543268113,0.04109589041095896,1.042857142857143,4,0.25721466454530567,8,393,0,393,0,0,1.0,12556,4.0,1.0,0,393,0.12519910799617712
phase_transition_s3501,phase_transition,3139,3.9974812493850194,3.9422930543268113,0.04109589041095896,1.042857142857143,4,0.25721466454530567,16,197,0,197,0,0,1.0,12556,4.0,1.0,0,197,0.06275884039503027
phase_transition_s3501,phase_transition,3139,3.9974812493850194,3.9422930543268113,0.04109589041095896,1.042857142857143,4,0.25721466454530567,32,99,0,99,0,0,1.0,12556,4.0,1.0,0,99,0.03153870659445683
phase_transition_s3502,phase_transition,3167,3.9955421787920002,3.9344865964866296,0.044521629302178733,1.0465961665565102,3,0.27386335326403655,4,792,0,792,0,0,1.0,12668,4.0,1.0,0,792,0.25007893905904643
phase_transition_s3502,phase_transition,3167,3.9955421787920002,3.9344865964866296,0.044521629302178733,1.0465961665565102,3,0.27386335326403655,8,396,0,396,0,0,1.0,12668,4.0,1.0,0,396,0.12503946952952322
phase_transition_s3502,phase_transition,3167,3.9955421787920002,3.9344865964866296,0.044521629302178733,1.0465961665565102,3,0.27386335326403655,16,198,0,198,0,0,1.0,12668,4.0,1.0,0,198,0.06251973476476161
phase_transition_s3502,phase_transition,3167,3.9955421787920002,3.9344865964866296,0.044521629302178733,1.0465961665565102,3,0.27386335326403655,32,99,0,99,0,0,1.0,12668,4.0,1.0,0,99,0.031259867382380804
retrigger_affine,retrigger,512,3.909961225776698,1.4394355877790599,0.755859375,4.096,8,0.16334554318340233,4,128,128,0,128,0,0.0,1600,3.125,1.28,448,128,0.25
retrigger_affine,retrigger,512,3.909961225776698,1.4394355877790599,0.755859375,4.096,8,0.16334554318340233,8,64,64,0,63,1,0.0,1520,2.96875,1.3473684210526315,528,64,0.125
retrigger_affine,retrigger,512,3.909961225776698,1.4394355877790599,0.755859375,4.096,8,0.16334554318340233,16,32,32,0,32,0,0.0,1364,2.6640625,1.501466275659824,684,32,0.0625
retrigger_affine,retrigger,512,3.909961225776698,1.4394355877790599,0.755859375,4.096,8,0.16334554318340233,32,16,16,0,16,0,0.0,1284,2.5078125,1.5950155763239875,764,16,0.03125
retrigger_identity,retrigger,512,3.909961225776698,1.4394355877790599,0.755859375,4.096,8,0.16334554318340233,4,128,128,0,128,0,0.0,1592,3.109375,1.2864321608040201,456,128,0.25
retrigger_identity,retrigger,512,3.909961225776698,1.4394355877790599,0.755859375,4.096,8,0.16334554318340233,8,64,64,0,63,1,0.0,1512,2.953125,1.3544973544973544,536,64,0.125
retrigger_identity,retrigger,512,3.909961225776698,1.4394355877790599,0.755859375,4.096,8,0.16334554318340233,16,32,32,0,32,0,0.0,1356,2.6484375,1.5103244837758112,692,32,0.0625
retrigger_identity,retrigger,512,3.909961225776698,1.4394355877790599,0.755859375,4.096,8,0.16334554318340233,32,16,16,0,16,0,0.0,1276,2.4921875,1.6050156739811912,772,16,0.03125
rotating_victim_affine,rotating_victim,4217,3.9984279678168275,3.9596933010414657,0.045292862224330044,1.0474416294088424,3,0.2784388164470492,4,1055,1,1054,1,0,0.9990521327014218,16865,3.9992885937870524,1.0001778831900385,3,1055,0.2501778515532369
rotating_victim_affine,rotating_victim,4217,3.9984279678168275,3.9596933010414657,0.045292862224330044,1.0474416294088424,3,0.2784388164470492,8,528,1,527,1,0,0.9981060606060606,16865,3.9992885937870524,1.0001778831900385,3,528,0.12520749347877638
rotating_victim_affine,rotating_victim,4217,3.9984279678168275,3.9596933010414657,0.045292862224330044,1.0474416294088424,3,0.2784388164470492,16,264,0,264,0,0,1.0,16868,4.0,1.0,0,264,0.06260374673938819
rotating_victim_affine,rotating_victim,4217,3.9984279678168275,3.9596933010414657,0.045292862224330044,1.0474416294088424,3,0.2784388164470492,32,132,0,132,0,0,1.0,16868,4.0,1.0,0,132,0.031301873369694096
rotating_victim_identity,rotating_victim,4217,3.9984279678168275,3.9596933010414657,0.045292862224330044,1.0474416294088424,3,0.2784388164470492,4,1055,0,1055,0,0,1.0,16868,4.0,1.0,0,1055,0.2501778515532369
rotating_victim_identity,rotating_victim,4217,3.9984279678168275,3.9596933010414657,0.045292862224330044,1.0474416294088424,3,0.2784388164470492,8,528,0,528,0,0,1.0,16868,4.0,1.0,0,528,0.12520749347877638
rotating_victim_identity,rotating_victim,4217,3.9984279678168275,3.9596933010414657,0.045292862224330044,1.0474416294088424,3,0.2784388164470492,16,264,0,264,0,0,1.0,16868,4.0,1.0,0,264,0.06260374673938819
rotating_victim_identity,rotating_victim,4217,3.9984279678168275,3.9596933010414657,0.045292862224330044,1.0474416294088424,3,0.2784388164470492,32,132,0,132,0,0,1.0,16868,4.0,1.0,0,132,0.031301873369694096
shape_b1,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,4,512,0,512,0,0,1.0,8192,4.0,1.0,0,512,0.25
shape_b1,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,8,256,127,129,127,0,0.50390625,7811,3.81396484375,1.0487773652541288,381,256,0.125
shape_b1,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,16,128,128,0,128,0,0.0,7300,3.564453125,1.1221917808219177,892,128,0.0625
shape_b1,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,32,64,64,0,64,0,0.0,6980,3.408203125,1.1736389684813753,1212,64,0.03125
shape_b16,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,4,512,0,512,0,0,1.0,8192,4.0,1.0,0,512,0.25
shape_b16,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,8,256,127,129,127,0,0.50390625,7811,3.81396484375,1.0487773652541288,381,256,0.125
shape_b16,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,16,128,128,0,128,0,0.0,7300,3.564453125,1.1221917808219177,892,128,0.0625
shape_b16,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,32,64,64,0,64,0,0.0,6980,3.408203125,1.1736389684813753,1212,64,0.03125
shape_b4,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,4,512,0,512,0,0,1.0,8192,4.0,1.0,0,512,0.25
shape_b4,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,8,256,127,129,127,0,0.50390625,7811,3.81396484375,1.0487773652541288,381,256,0.125
shape_b4,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,16,128,128,0,128,0,0.0,7300,3.564453125,1.1221917808219177,892,128,0.0625
shape_b4,rate_shape,2048,4.0,0.0,0.0,1.0,1,-0.0,32,64,64,0,64,0,0.0,6980,3.408203125,1.1736389684813753,1212,64,0.03125
spatial_dispersed,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,4,384,0,384,0,0,1.0,6144,4.0,1.0,0,384,0.25
spatial_dispersed,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,8,192,0,192,0,0,1.0,6144,4.0,1.0,0,192,0.125
spatial_dispersed,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,16,96,96,0,0,96,0.0,5472,3.5625,1.1228070175438596,672,96,0.0625
spatial_dispersed,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,32,48,48,0,0,48,0.0,4272,2.78125,1.4382022471910112,1872,48,0.03125
spatial_local,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,4,384,0,384,0,0,1.0,6144,4.0,1.0,0,384,0.25
spatial_local,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,8,192,0,192,0,0,1.0,6144,4.0,1.0,0,192,0.125
spatial_local,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,16,96,96,0,0,96,0.0,5472,3.5625,1.1228070175438596,672,96,0.0625
spatial_local,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,32,48,48,0,0,48,0.0,4272,2.78125,1.4382022471910112,1872,48,0.03125
spatial_local_mirror,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,4,384,0,384,0,0,1.0,6144,4.0,1.0,0,384,0.25
spatial_local_mirror,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,8,192,0,192,0,0,1.0,6144,4.0,1.0,0,192,0.125
spatial_local_mirror,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,16,96,96,0,0,96,0.0,5472,3.5625,1.1228070175438596,672,96,0.0625
spatial_local_mirror,matched_spatial,1536,2.0,0.8105000254380154,0.0,1.0,1,-0.0,32,48,48,0,0,48,0.0,4272,2.78125,1.4382022471910112,1872,48,0.03125
timing_pair_s3901,timing_pair,1259,3.9918468815893844,3.861444107829459,0.05083399523431298,1.0535564853556485,3,0.30502687240152465,4,315,0,315,0,0,1.0,5036,4.0,1.0,0,315,0.25019857029388404
timing_pair_s3901,timing_pair,1259,3.9918468815893844,3.861444107829459,0.05083399523431298,1.0535564853556485,3,0.30502687240152465,8,158,0,158,0,0,1.0,5036,4.0,1.0,0,158,0.1254964257347101
timing_pair_s3901,timing_pair,1259,3.9918468815893844,3.861444107829459,0.05083399523431298,1.0535564853556485,3,0.30502687240152465,16,79,0,79,0,0,1.0,5036,4.0,1.0,0,79,0.06274821286735505
timing_pair_s3901,timing_pair,1259,3.9918468815893844,3.861444107829459,0.05083399523431298,1.0535564853556485,3,0.30502687240152465,32,40,0,40,0,0,1.0,5036,4.0,1.0,0,40,0.03177124702144559
timing_pair_s3902,timing_pair,1279,3.9932249883982487,3.8510181010628672,0.058639562157935865,1.0622923588039868,3,0.3417848786074471,4,320,2,318,2,0,0.99375,5110,3.995308835027365,1.001174168297456,6,320,0.2501954652071931
timing_pair_s3902,timing_pair,1279,3.9932249883982487,3.8510181010628672,0.058639562157935865,1.0622923588039868,3,0.3417848786074471,8,160,0,160,0,0,1.0,5116,4.0,1.0,0,160,0.12509773260359655
timing_pair_s3902,timing_pair,1279,3.9932249883982487,3.8510181010628672,0.058639562157935865,1.0622923588039868,3,0.3417848786074471,16,80,0,80,0,0,1.0,5116,4.0,1.0,0,80,0.06254886630179828
timing_pair_s3902,timing_pair,1279,3.9932249883982487,3.8510181010628672,0.058639562157935865,1.0622923588039868,3,0.3417848786074471,32,40,0,40,0,0,1.0,5116,4.0,1.0,0,40,0.03127443315089914
uniform_l0p125_s2001,uniform,251,3.9742179720278337,3.191557398983436,0.07569721115537853,1.081896551724138,3,0.41763270464868757,4,63,0,63,0,0,1.0,1004,4.0,1.0,0,63,0.250996015936255
