name,workload,kind,block_size,link_width,pins,charged_storage_bits,offered,accepted,overrun,delivered,blocks,raw_blocks,link_bits,link_cycles,bits_per_event,events_per_pin_cycle,average_latency,max_latency,drain_cycle
elephant_mouse_affine,elephant_mouse,codec,4,4,8,74,1827,1724,103,1724,432,220,5692,2014,3.3016241299303943,0.10700099304865938,8.955916473317865,13,2056
elephant_mouse_affine,elephant_mouse,raw,8,1,3,138,1827,509,1318,509,64,64,2036,2100,4.0,0.08079365079365079,76.54616895874263,124,2111
elephant_mouse_affine,elephant_mouse,codec,8,1,3,138,1827,517,1310,517,65,62,2031,2096,3.9284332688588006,0.08222010178117048,75.50290135396519,125,2107
elephant_mouse_affine,elephant_mouse,raw,8,2,5,138,1827,971,856,971,122,122,3884,2064,4.0,0.0940891472868217,35.92584963954686,48,2074
elephant_mouse_affine,elephant_mouse,codec,8,2,5,138,1827,1058,769,1058,133,84,3805,2060,3.59640831758034,0.10271844660194175,32.763705103969755,47,2073
elephant_mouse_affine,elephant_mouse,raw,8,4,8,138,1827,1789,38,1789,224,224,7156,2013,4.0,0.11109041231992052,17.288988261598657,22,2064
elephant_mouse_affine,elephant_mouse,codec,8,4,8,138,1827,1821,6,1821,228,80,5688,1761,3.1235584843492585,0.12925894378194208,15.922020867655135,21,2063
elephant_mouse_affine,elephant_mouse,raw,16,1,3,266,1827,528,1299,528,33,33,2112,2145,4.0,0.08205128205128205,143.63257575757575,189,2177
elephant_mouse_affine,elephant_mouse,codec,16,1,3,266,1827,549,1278,549,35,27,2104,2139,3.832422586520947,0.08555399719495091,136.89981785063753,190,2160
elephant_mouse_affine,elephant_mouse,raw,16,2,5,266,1827,1009,818,1009,64,64,4036,2082,4.0,0.09692603266090298,68.05649157581765,88,2112
elephant_mouse_affine,elephant_mouse,codec,16,2,5,266,1827,1093,734,1093,69,34,3939,2056,3.6038426349496797,0.10632295719844358,61.78774016468436,88,2090
elephant_mouse_affine,elephant_mouse,raw,16,4,8,266,1827,1824,3,1824,114,114,7296,1938,4.0,0.11764705882352941,33.15899122807018,38,2080
elephant_mouse_affine,elephant_mouse,codec,16,4,8,266,1827,1827,0,1827,115,25,5586,1579,3.057471264367816,0.14463267891070297,31.21401204159825,37,2079
elephant_mouse_affine,elephant_mouse,raw,32,1,3,522,1827,550,1277,550,18,18,2200,2218,4.0,0.0826570483919447,272.28545454545457,367,2265
elephant_mouse_affine,elephant_mouse,codec,32,1,3,522,1827,605,1222,605,19,7,2200,2219,3.6363636363636362,0.09088177857893946,245.79338842975207,367,2282
elephant_mouse_affine,elephant_mouse,raw,32,2,5,522,1827,1029,798,1029,33,33,4116,2091,4.0,0.09842180774748924,131.59475218658892,170,2151
elephant_mouse_affine,elephant_mouse,codec,32,2,5,522,1827,1185,642,1185,38,7,4075,2091,3.438818565400844,0.1133428981348637,113.38565400843882,167,2155
elephant_mouse_affine,elephant_mouse,raw,32,4,8,522,1827,1827,0,1827,58,58,7308,1885,4.0,0.12115384615384615,65.95511767925561,76,2111
elephant_mouse_affine,elephant_mouse,codec,32,4,8,522,1827,1827,0,1827,58,6,5668,1514,3.1023535851122057,0.15084214002642007,60.87848932676519,72,2102
elephant_mouse_identity,elephant_mouse,raw,4,1,3,74,1827,489,1338,489,123,123,1956,2079,4.0,0.0784030784030784,44.537832310838446,67,2082
elephant_mouse_identity,elephant_mouse,codec,4,1,3,74,1827,494,1333,494,124,119,1953,2077,3.9534412955465585,0.0792810142834216,44.01012145748988,78,2081
elephant_mouse_identity,elephant_mouse,raw,4,2,5,74,1827,914,913,914,229,229,3656,2057,4.0,0.08886728245017016,20.2472647702407,33,2061
elephant_mouse_identity,elephant_mouse,codec,4,2,5,74,1827,974,853,974,244,186,3570,2058,3.6652977412731005,0.0946550048590865,18.762833675564682,32,2062
elephant_mouse_identity,elephant_mouse,raw,4,4,8,74,1827,1634,193,1634,409,409,6536,2043,4.0,0.09997552618697993,9.943696450428396,13,2057
elephant_mouse_identity,elephant_mouse,codec,4,4,8,74,1827,1714,113,1714,430,229,5717,2010,3.335472578763127,0.10659203980099502,9.056009334889149,12,2056
elephant_mouse_identity,elephant_mouse,raw,8,1,3,138,1827,509,1318,509,64,64,2036,2100,4.0,0.08079365079365079,76.67190569744598,124,2111
elephant_mouse_identity,elephant_mouse,codec,8,1,3,138,1827,517,1310,517,65,61,2036,2101,3.9381044487427466,0.08202443280977312,75.29593810444874,125,2112
elephant_mouse_identity,elephant_mouse,raw,8,2,5,138,1827,971,856,971,122,122,3884,2064,4.0,0.0940891472868217,35.89701338825952,47,2074
elephant_mouse_identity,elephant_mouse,codec,8,2,5,138,1827,1037,790,1037,130,81,3813,2061,3.6769527483124396,0.10063076176613295,33.38958534233365,47,2074
elephant_mouse_identity,elephant_mouse,raw,8,4,8,138,1827,1789,38,1789,224,224,7156,2013,4.0,0.11109041231992052,17.289547233091113,22,2064
elephant_mouse_identity,elephant_mouse,codec,8,4,8,138,1827,1817,10,1817,228,90,5830,1789,3.2085855806274077,0.1269564002235886,16.065492570170612,20,2063
elephant_mouse_identity,elephant_mouse,raw,16,1,3,266,1827,528,1299,528,33,33,2112,2145,4.0,0.08205128205128205,143.69507575757575,189,2177
elephant_mouse_identity,elephant_mouse,codec,16,1,3,266,1827,541,1286,541,34,24,2102,2136,3.88539741219963,0.08442571785268414,140.04805914972275,188,2165
elephant_mouse_identity,elephant_mouse,raw,16,2,5,266,1827,1009,818,1009,64,64,4036,2082,4.0,0.09692603266090298,67.97918731417245,88,2112
elephant_mouse_identity,elephant_mouse,codec,16,2,5,266,1827,1093,734,1093,69,34,3931,2052,3.596523330283623,0.10653021442495127,61.80420860018298,87,2088
elephant_mouse_identity,elephant_mouse,raw,16,4,8,266,1827,1824,3,1824,114,114,7296,1938,4.0,0.11764705882352941,33.15899122807018,38,2080
elephant_mouse_identity,elephant_mouse,codec,16,4,8,266,1827,1826,1,1826,115,26,5701,1607,3.1221248630887186,0.14203484754200374,31.41292442497262,38,2079
elephant_mouse_identity,elephant_mouse,raw,32,1,3,522,1827,550,1277,550,18,18,2200,2218,4.0,0.0826570483919447,272.31454545454545,367,2265
